name;description;exc;trade;;;;
CC376-13;2MP Dual Light Audio Fixed Mini Bullet;489.00;562.35;NEW;DS-2CE16D0T-LPFS;;
CC377;HIK HD-TVI Bullet 1080p EXIR IR 40M 3.6m;512.00;588.80;;DS-2CE17D0T-IT3F(3.6mm);;
CC377-1;HIK HD-TVI Bullet 1080p EXIR 50M 2.8mm;674.00;775.10;;DS-2CE16D3T-IT3F(2.8mm);;
CC379;HIK Bullet Cam HD-TVI 1080p IR40m VF;799.00;918.85;;DS-2CE19D0T-VFIT3F(2.7-13.5mm);;
CC268;HD-TVI EXIR 5MP Bullet Cam IR 30m 2.8mm;775.00;891.25;5.0 HDTVI;DS-2CE16H8T-ITF(2.8mm);;
CC268-1;HD-TVI EXIR 5MP Bullet Cam IR 80m MVF;1740.00;2001.00;5.0 HDTVI;DS-2CE19H8T-AIT3ZF(2.7-13.5mm);;
;;;;;;;
CC386-1;HIK HD-TVI Dome 4 in 1 1080P IR25m 2.8mm;399.00;458.85;;DS-2CE56D0T-IRMF(2.8mm);;
CC386-2;HIK HD-TVI Dome 4in1 1080P IR 20M 3.6mm;355.00;408.25;;DS-2CE56D0T-IRMF(3.6mm);;
CC386-6;HD-TVI Plastic Dome Cam 1080p IR 20m;195.00;236.90;;DS-2CE76D0T-EXIPF (2.8mm);;
CC386-8;HD-TVI ColorVu Dome Camera 1080p - 2.8mm;1124.00;1292.60;;DS-2CE72DF3T-PIRXOS (2.8mm);;
CC386-9;HD-TVI ColorVu Dome Camera 1080p - 2.8mm;530.00;609.50;;DS-2CE70DF0T-MF(2.8mm);;
CC386-13;2MP Dual Light Audio Fixed Turret 2.8mm;410.00;471.50;;DS-2CE76D0T-LPFS;;
CC387;HIK HD-TVI Dome 720p EXIR IR 40M 3.6mm;453.00;520.95;;DS-2CE56D0T-IT3F(3.6mm);;
CC387-1;HIK HD-TVI Dome 1080p EXIR 40M 3.6mm;595.00;684.25;;DS-2CE76D3T-ITMF (3.6mm);;
