name;description;exc;trade;;;;
GA74;Vantage Single 400 Operator Kit;6446.00;7412.90;;Checklist;;
GA74-1;Vantage Double 400 Operator Kit;9639.00;11084.85;o Gate Motor;;;
GA75;Vantage Single 500 Operator Kit;6540.00;7521.00;o Battery;;;
GA75-1;Vantage Double 500 Operator Kit;9827.00;11301.05;o Gate Beams;;;
GA78;VERT-X Single Swing Operator Kit;6210.00;7141.50;o Receiver - Rx;;;
GA78-1;VERT-X Double Swing Operator Kit;9167.00;10542.05;o Remotes - Tx;;;
CB81;CABLE - 2 Core x 2mm 4 Core x 0.5mm 25m;719.00;826.85;o Theft Bracket;;;
;Cable for Vector. Vantage & Vert-X;;;o Intercom;;;
;;;;o Rainshield;;;
;CENTURION - HD Roller Shutter Operators;;;o Gooseneck;;;
GA138;CENTURION RSO5R Kit - 500Kg 360W;6437.75;7403.41;o Rack;;;
GA138-2;CENTURION RSO50 Kit - 500Kg 24VDC;8408.50;9669.78;o Stops;;;
GA138-5;CENTURION RSO50 Kit - 500Kg 24VD FMLC T2;7073.75;8134.81;o Guides and Rollers;;;
GA139;CENTURION RSO5R - 220VAC 500Kg RSO ONLY;5141.00;5912.15;o Wheel kits;;;
GA139-1;CENTURION RSO5DC - 24VDC 500Kg RSO Only;3890.00;4473.50;o Cable;;;
;3 Phase 380VAC RSO also available;;;o Couplings;;;
;;;;o Conduit;;;
;CENTURION GENERAL ACCESSORIES;;;o Welding Rods;;;
GA26-1;CENTURION A10 / D10 Theft Resistant Cage;1265.00;1454.75;o Cement;;;
GA26-13;CENTURION D5 Theft Resistant Cage & Lock;908.00;1044.20;;;;
GA26-8;CENTURION D2 Theft Resistant Cage SSG304;596.00;685.40;;;;
GA26-14;CENTURION D5 Smart Theft Cage Assembly;782.00;899.30;;;;
GA26-15;D10 Smart D10 Turbo D20 Smart Theft Cage;1312.00;1508.80;;New Product;;
GA24-6;CENTURION DX Smart Controller No LCD Box;1371.00;1576.65;;;;
GA23-14;CENTURION - D5 EVO LCD Controller;1329.00;1528.35;;;;
GA23-15;CENTURION - PCB D10 (Black);1389.00;1597.35;;;;
GA23-16;CENTURION - A10 Encoder Housing & PCB;46.30;53.25;;;;
GA23-17;CENTURION - D10 / D5EVO Doss Harness V3;29.30;33.70;;;;
GA23-8;CENTURION 24-12V DC-DC Regulator - Relay;201.00;231.15;;New Product;;
GA27-10;CENTURION DX Smart Charger 27.4V 1.3Amp;568.00;653.20;;New Product;;
GA27-11;CENTURION DX Smart Charger D10S 27.4V;706.00;811.90;;New Product;;
GA27-4;CENTURION - A10 DC Converter 3Amp;6391.00;7349.65;;;;
GA27-5;CENTURION - D5 EVO Switch Mode PSU 2A;492.70;566.61;;;;
GA76-21;VERT-X / VANTAGE Wall Mount Bracket Kit;277.00;318.55;;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 21;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
GATE AUTOMATION;;;;;;;
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;;;;
NICE - GATE MOTORS;;;;;;;
GA02;Nice Drive 300 Gate Motor  incl Battery;2795.00;3214.25;;;;
RGA06;Nice Drive 500 12V Mag Limit Trf Plug In;3871.10;4451.75;;;;
RGA08;Nice Drive 600 Mag Limit ACDC;4350.24;5002.78;;;;
GA01;Nice Drive 1000 Gate Motor Kit incl Batt;7375.00;8481.25;;;;
GA01-5;Nice RUN 2500 Sliding Gate Motor Only;12920.25;14858.29;;On Request Only;;
GA01-4;Nice TUB 4000 Sliding Gate Motor Only;20918.50;24056.28;;On Request Only;;
GA08;Nice 500 - ACDC Gate Motor Incl 2 x Tx;4430.80;5095.42;;;;
SP51;Nice 500 - 12V Gate Motor Kit Nylon Rack;4217.40;4850.01;;;;
SP55;ET500 - ACDC Gate Motor Kit - 4m Rack;3933.00;4522.95;;;;
SP56;ET500 - ACDC Gate Motor Kit - Nylon Rack;4803.15;5523.62;;;;
SP58;Nice Drive 300 Motor Kit inc Batt & Rack;3175.55;3651.88;;;;
SP59-1;Nice Drive 500 Motor Kit inc Batt & Rack;4298.55;4943.33;;;;
SP61-1;Nice Drive 600 Motor Kit inc Batt & Rack;4837.35;5562.95;;;;
SP57;ET Drive 1000 Motor Kit incl Batt & Rack;7769.20;8934.58;;;;
;NICE GENERAL ACCESSORIES;;;;;;
GA29-1;Nice Drive 500/600 Theft Resistant Brack;870.24;1000.78;;;;
GA29-3;Nice AC/DC Cover Incl Theft BrackNice Re;318.55;366.33;;;;
GA29-4;Nice AC/DC Cover Incl Theft BrackNice Gr;324.45;373.12;;;;
GA29-5;Nice Drive 1000 Theft Deterrent Bracket;964.39;1109.05;;;;
GA29-6;Nice Drive 500 Cover Only;195.50;224.83;;;;
GA29-7;Nice Drive 600 Cover Only;195.50;224.83;;;;
GA29-10;Nice Drive 500 Gate Motor Base Plate Kit;159.52;183.45;;;;
GA107-13;Nice Drive 500/600 PCB in Housing;1003.33;1153.83;;;;
GA107-18;Nice Drive 300 PCB;718.13;825.85;;;;
GA107-4;Nice 500 Control Cards;957.60;1101.24;;;;
GEMINI GATE MOTORS;;;;;;;
RGA85;Gemini DC Slider Battery & Remotes Only;3524.10;4052.72;;;;
RGA85-1;Gemini DC Slider Motor Only;2786.00;3203.90;;;;
GA85;Gemini DC Slider Kit Batt Remotes & Rack;3725.00;4283.75;;;;
RGA86-1;Gemini DC Slider SEL 12A/H 142 Excl Stee;3399.00;3908.85;;;;
GA86-1;Gemini DC Slider SEL 12A/H 142 incl Rack;3848.87;4426.20;;;;
GA86-2;Gemini Slider Gate Motor 24V 5AH excl St;3880.79;4462.91;New;;;
GA86-3;Gemini Complex Slider Gate Motor 24V 8AH;6122.83;7041.26;New;;;
DACE GATE MOTORS;;;;;;;
SP90-1;DACE SPRINT 500 Sliding Motor HV Kit;3388.93;3897.27;;;;
SP91;DACE CONDO Gate Motor Kit Incl Rack;4364.30;5018.95;;;;
GA111-1;DACE 12V Single Swing Pedestal Mnt Kit;4121.73;4739.99;;;;
GA112-1;DACE 12V Single Swing Wall Mount Kit;4085.85;4698.73;;;;
;NICE-HANSA - SLIDING GATE MOTORS;;;;;;
GA53-2;HANSA SPEEDO 24V HD + 4m Steel Rack;10496.70;12071.21;;;;
GA53-6;HANSA SPEEDO 24V HD Incl Powerpack;9000.00;10350.00;;;;
GA230;NICE ROBUS 250 Motor. Incl 24VDC Battery;2687.00;3090.05;;;;
;NICE-HANSA - SWING GATE MOTORS;;;;;;
GA67-5;HANSA - Elite Double Swing 24V HD kit;29975.00;34471.25;;On Request Only;;
GA222;NICE TOONA 7m Double Swing 24VDC;18921.00;21759.15;;On Request Only;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 22;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
GATE AUTOMATION;;;;;;;
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;;;;
;SENTRY - SLIDING GATE MOTOR;;;;;;
GA134;Sentry SGO6 Gate Motor Kit Batt + 2x Tx4;3100.00;3565.00;;;;
SP134;Sentry SGO6 Motor Kit 2 x Tx4 Batt. Rack;3499.00;4023.85;;;;
GA134-9;Sentry SGO6 Motor Theft Deterrent Cage;514.00;591.10;;;;
GATE BEAMS;;;;;;;
BD06;GATE BEAM - Centurion 40M;322.00;370.30;;;;
BD09;GATE BEAM - Centurion PHOTON Wireless;639.00;734.85;;;;
BD09-1;GATE BEAM - Centurion PHOTON Smart WL;668.00;768.20;;;;
BD05-2;GATE BEAM Nice Wave Semi-Wireless IR;473.27;544.26;;;;
BD08-1;GATE BEAM Nice Infra Red Blue Eyes V2;294.84;339.07;;;;
BD05-4;GATE BEAM - Sentry 15M Wireles IP55;399.00;458.85;;;;
LOOP DETECTORS;;;;;;;
GA31-1;Loop Detector - 11 Pin Socket;45.00;51.75;;;;
GA31-3;Loop Detector - Single Channel 220V SS;399.00;458.85;;;;
GA31-4;Loop Detector - Dual 12 / 24VDC SS;599.00;688.85;;;;
GA31-6;Loop Detector - Single Channel 12V MD201;377.14;433.71;;;;
GA31-7;Loop Detector - FLUX SA 1Ch 12/24V AC/DC;494.00;568.10;;;;
GA31-8;Loop Detector - FLUX 11 Pin 1Ch 12/24V;689.00;792.35;;;;
CB64;Cable Silicon 1.5mm Red / 100m - Loop;552.00;634.80;;;;
;INSTALLATION ACCESSORIES;;;;;;
GA26-4;D5 Theft Resistant Cage - Generic;499.00;573.85;;;;
LK79-3;Padlock - Insurance 70mm;269.00;309.35;;;;
LK79-4;Padlock - Discus 70mm;118.50;136.28;;;;
LK79-3-1;Padlock - Insurance 90mm;364.00;418.60;Now in stock;;;
;;;;Sundry Hardware;;;
GA30;Gate Wheel Kit - 60mm  - V-Profile;161.20;185.38;Premix concrete.;;;
GA30-2;Gate Wheel Kit - 60mm E/Plated;169.10;194.47;Hacksaw blades;;;
GA42;Gate Wheel Kit - 80mm  - V-Profile;207.00;238.05;Drill bits;;;
GA42-1;Gate Wheel Kit - 80mm E/Plated;222.40;255.76;Silicon sealer;;;
GA42-2;Gate Wheel Kit - 80mm U - Profile Elect;229.80;264.27;Welding Rods;;;
GA42-3;Gate Wheel Kit - 80mm Radius;214.40;246.56;Tools;;;
GA42-4;Gate Wheel Kit - 100mm;484.40;557.06;Test meters;;;
GA42-6;Gate Shox Wheel Set 80mm Stainless Steel;1601.00;1841.15;Conduit;;;
GA33;Gate Nylon Guide Rollers / Pair;31.20;35.88;Cabling accesories;;;
;Radius and Electro plated Wheel kit types also available;;;etc.;;;
GA40;Rack-Steel 30x10mmx2m incl Brackets;284.00;326.60;;;;
GA39;Rack - RAZ Nylon 20mm x 0.5m;64.00;73.60;;;;
GA18-1;Rack - Nylon Angle Galvanised / 2m;189.00;217.35;;;;
GA131;Sherlo Gate Alarm Code Hopping Tx 403MHz;245.56;282.39;;;;
GA132;Swing Gate Timer;319.20;367.08;;;;
GA33-2;Gate Mate Brushes (Mr Sweepy);132.00;151.80;;;;
SW98;Isolator Switch 30Amp with W/Proof S/Box;152.90;175.84;;;;
;CENTURION - SOLAR ACCESSORIES;;;;;;
PS81;Solar Panel 40W Polycrystalline 18.2V 46;500.00;575.00;;;;
PS81-1;Solar Panel 60W 18.2V 630x670x30mm;720.00;828.00;;;;
PS81-2;Solar Panel 80W 18.2V 915x670x30mm;910.00;1046.50;;;;
PS83-3;Universal Solar Panel Brkt Kit 20W-80W;949.60;1092.04;;;;
PS45;Solar Regulator 12V/24V 20Amp;481.00;553.15;;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 23;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
GATE AUTOMATION;;;;;;;
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;;;;
;REMOTES - Standard Range;;;;;;
SW44-1;Nice Tx 1 Button - Blu-Mix Rolling Code;110.61;127.20;;;;
SW44-2;Nice Tx 2 Button - Blu-Mix Rolling Code;130.43;149.99;;;;
SW44-4;Nice Tx 4 Button - Blu-Mix Rolling Code;141.88;163.16;;;;
SW44-6;Nice Tx 6 Button - Blu-Mix Rolling Code;149.54;171.97;;;;
SW56;Smart - 1 Button Tx 433 MHz;146.00;167.90;;;;
SW56-6;Smart - 2 Button Tx 433 MHz;171.00;196.65;;;;
SW56-8;Smart - 4 Button Tx 433 MHz;213.00;244.95;;;;
SW56-1;Classic - 1 Button Tx 403 MHz;137.00;157.55;;;;
SW56-1-1;Classic - 2 Button Tx 403 MHz;141.00;162.15;;;;
SW58-1;NOVA V3 1 Button SG Transmitter 433MHz;115.00;132.25;;;;
SW58-2;NOVA V3 2 Button SG Transmitter 433MHz;150.00;172.50;;;;
SW58-4;NOVA V3 4 Button SG Transmitter 433MHz;185.00;212.75;;;;
SW107;Sentry - 1 Button Tx Binary (403);98.00;112.70;;;;
SW107-1;Sentry - 3 Button Tx Binary (403);115.00;132.25;;;;
SW107-11;Sentry - 1 Button Tx Learn (403);95.00;109.25;;;;
SW107-12;Sentry - 3 Button Tx Learn (403);104.00;119.60;;;;
SW107-1-1;Sentry - 4 Button Tx Learn (403);111.00;127.65;;;;
SW107-13;Sentry - 4 Button Dual Tx Learn (Green);135.00;155.25;;;;
SW107-21;Sentry - 4 Button Code Hopping Tx 433 NC;122.00;140.30;;;;
SW107-22;Sentry - 6 Button Code Hopping Tx 433 NC;158.00;181.70;;;;
SW107-31;Sentry - 1 Button Code Hopping Tx 403 SC;98.00;112.70;;;;
SW107-34;Sentry - 4 Button Code Hopping Tx 403 SC;122.00;140.30;;;;
SW107-36;Sentry - 6 Button Code Hopping Tx 403 SC;158.00;181.70;;;;
SW81;Sherlo Tx 1 Button Code Hopping Key Ring;94.89;109.12;;;;
SW81-1;Sherlo Tx 2 Button Code Hopping Key Ring;107.05;123.11;;;;
SW81-3;Sherlo Tx 4 Button Code Hopping Key Ring;111.92;128.71;;;;
SW81-6;Sherlo Tx 6 Button Code Hopping Key Ring;116.80;134.32;;;;
SW84;Sherlo 6 Button Glow-in-Dark Keyring Tx;122.82;141.24;New;;;
SW131;Digi - Tx 4 Button E-Key;182.00;209.30;;;;
SW23;MTQ 1 Button Tx Code Hop 433Mhz;110.34;126.89;;;;
SW24;MTQ 3 Button Tx Code Hop 433Mhz;114.32;131.47;;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 24;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
GATE AUTOMATION;;;;;;;
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;;;;
RECEIVERS - Standard Range;;;;;;;
SW42-2;Nice Rx 1 Channel - Learn 404MHz 40Bit;183.18;210.66;;;;
SW42-5;Nice Rx 1Channel - Rolling Code (434) Bl;179.76;206.72;;;;
SW42-7;Nice Multi-Receiver RX3 (TH ASSEMBLY);253.03;290.98;;;;
SW43-2;Nice Micro Blu Mix Rolling Code Rx2;124.07;142.68;;;;
SW45;Smart - 1 Channel Receiver 433 MHz;311.00;357.65;;;;
SW46-2;Nova - 1 Channel Receiver 433 MHz;284.00;326.60;;;;
SW46-3;Nova - 2 Channel Receiver 433 MHz;414.00;476.10;;;;
SW46-4-1;Nova - 4 Channel Receiver 433 MHz;494.00;568.10;;;;
SW72-2;Sherlo Rx 1Ch 150m Code Hopping RX1-150;170.34;195.89;;;;
SW80-1;Sherlo Rx 2Ch 150m Code Hopping RX2-150;195.37;224.68;;;;
SW72-5;Sherlo Rx 3Ch 150m Code Hopping RX3-150;210.58;242.17;;;;
SW108-3-1;Sentry - 1Ch Rx Binary/ Trinary/ French;133.00;152.95;;;;
SW132;Digi - 1 Channel Receiver E-Key;467.00;536.25;;;;
;TRANSMITTERS - Fixed - Standard Range;;;;;;
SW60;Centurion WiZo Link 12-24V 1 IO V1 TxR;430.40;494.96;;;;
SW82-5;Sherlo Fixed Wireless Waterproof Tx CH;198.87;228.70;;;;
SW82-6;Sherlo Elegant Wallmount Tx 100m 403MHz;151.11;173.78;;;;
SW83;Sherlo 2 Channel PIR Transmitter PIR-TX;257.36;295.96;;;;
SW43-1;Nice Micro Blu Mix Rolling Code Tx2;127.55;146.68;;;;
SW24-1;MTQ Gemini Wall Console Tx3 Code Hop 433;126.22;145.15;;;;
TOWNHOUSE RECEIVERS;;;;;;;
SW80-9;Sherlo Rx 4000 User Complex Code Hopping;601.31;691.51;;;;
SW108-8;Sentry - Complex Rx (1000ch);385.00;442.75;;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 25;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
GATE AUTOMATION;;;;;;;
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;;;;
;REMOTES & RECEIVERS - Long Range;;;;;;
SW102;MAMI - RKU TG1 Tx 1Km;680.00;782.00;;;;
SW94-1;MAMI - 4 Ch Fixed Rx 1-3Km;1570.00;1805.50;;;;
SW95;MAMI - Aerial Folded Hog;285.00;327.75;;;;
SW135;Sherlo Tx 4 Ch 1.5Km Code HoppingS4;389.56;447.99;;;;
SW54;Sherlo Kit 200M L/Range SS5002;555.69;639.04;;;;
SW55-1;Sherlo Tx 1Button Trinary ST4001P;140.39;161.45;;;;
SW72;Sherlo 1Ch 500m Stand Alone Transmitter;178.26;205.00;;;;
SW80;Sherlo Rx 1Ch 500m Code Hopping RX1-500;304.16;349.78;;;;
SW80-4;Sherlo Rx 4Ch 500m Code Hopping RX4-500;328.50;377.78;;;;
SW81-7;Sherlo Tx 1 Button Code Hopping Pendant;108.27;124.51;;;;
SW88-2;Sherlo Repeater Code Hopping RPT1-800;851.21;978.89;;;;
SW43-6;Nice Weatherproof 2 Ch Long Range Tx;295.19;339.47;;;;
SW43-7;Nice Weatherproof 2 Ch Long Range Rx;241.00;273.77;;;;
SW71;Nice Tx 3 Ch O/Door High Power RC Dual 4;355.17;408.45;;;;
SW43;Nice 1Ch Weatherproof Transceiver Repeat;315.37;362.68;;;;
SW108-10;Sentry - M5 Superhet Receiver Module;113.00;129.95;;;;
SW108-17;Sentry - 4 Ch Long Range Transmitter 433;243.00;279.45;;;;
SW108-18;Sentry - 1 Ch Long Range Receiver 433;243.00;279.45;;;;
;REMOTES & RECEIVERS - Other;;;;;;
SW108-11;Sentry - 220V Light Rx Tx incl 1x4 BtnTx;580.00;667.00;;;;
SW108-12;Sentry - 12V Light Rx Tx Incl 1x4 Btn Tx;421.00;484.15;;;;
SW88-1;Sherlo 14 Channel Module 64 User;729.99;839.49;;;;
SW72-3;Sherlo Rx Data Code HoppingASKDRX;316.33;363.78;;;;
CP04-2;Sherlotronics Fixed Panic Panel Only;695.95;800.34;;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 26;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
INTRUSION;;;;;;;
;;;;;;;
INTRUSION;;;;;;;
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;;;;
;CONTROL PANELS AND MODULES;;;;;;
CP422B;Ajax Hub Plus black;4610.10;5301.62;11790.01.BL1;;;
CP422W;Ajax Hub Plus white;4583.00;5270.45;11795.01.WH1;;;
CP423B;Ajax Hub 2 Plus Black 200 Devices LTE Wi;5237.70;6023.36;20276.40.BL1;;;
CP423W;Ajax Hub 2 Plus white;4959.50;5923.65;20279.40.WH1;;;
CP424W;Ajax Hub 2 4G White;4608.50;5299.78;33152.108.WH1;;;
CP450W;Ajax StarterKit Cam Plus - Hub 2p + Moti;8298.90;9543.74;20294.66.WH1;;;
CP430W;Ajax Keypad white;1334.00;1534.10;8706.12.WH1;;;
CP430B;Ajax Keypad black;1334.00;1534.10;8722.12.BL1;;;
CP431B;Ajax Keypad Plus Black;1574.40;1822.75;26077.83.BL1;;;
CP431W;Ajax Keypad Plus White;1574.40;1822.75;26078.83.WH1;;;
CP440B;Ajax ReX black;1674.00;1925.10;8075.37.BL1;;;
CP440W;Ajax ReX white;1674.90;1926.14;8001.37.WH1;;;
CP441B;Ajax MultiTransmitter;2096.70;2411.21;27320.62;;;
CP442B;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;2334.00;2684.10;32668.106.BL1;;;
CP442W;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;2334.00;2684.10;32669.106.WH1;;;
CP443B;Ajax VHF Bridge Black;1299.00;1932.00;25352.92.BL1;;;
CP443W;Ajax VHF Bridge White;1777.00;2043.55;25353.92.WH1;;;
;REMOTE CONTROLS. RELAYS. SWITCHES AND TRANSMITTERS;;;;;;
SW420B;Ajax Button black;418.00;480.70;10314.26.BL1;;;
SW420W;Ajax Button white;420.00;483.00;10315.26.WH1;;;
SW421B;Ajax Holder for Button/DoubleButton blac;77.70;89.36;21657.82.BL;;;
SW421W;Ajax holder for Button;66.00;75.90;21658.82.WH;;;
SW422B;Ajax Tag Black;78.90;91.31;23527.90.BL1;;;
SW422W;Ajax Tag White;78.90;91.31;23528.90.WH;;;
SW424B;Ajax SpaceControl black;420.10;483.12;6108.04.BL1;;;
SW424W;Ajax SpaceControl white;420.10;483.12;6267.04.WH1;;;
SW425B;Ajax Card Black (10Pcs);723.90;838.35;23498;;;
SW426;Ajax Relay;626.50;720.48;11035.19.NC1;;;
SW427;Ajax Transmitter;670.70;771.31;10306.18.NC1;;;
SW423B;Ajax WallSwitch black;550.30;637.10;7649.13.BL1;;;
SW428W;Ajax Socket white;1001.00;1151.15;13305.34.WH1;;;
SW429B;Ajax LeaksProtect Black;629.80;729.10;8065.08.BL1;;;
SW429W;Ajax LeaksProtect white;629.80;729.10;8050.08.WH1;;;
SW430;Ajax ocBridge Plus;821.10;951.05;7296.14.NC1;;;
SW431;Ajax uartBridge;426.70;494.50;5260.15.NC1;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 27;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
INTRUSION;;;;;;;
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;;;;
POWER SUPPLY MODULES;;;;;;;
PS420;Ajax 12V PSU for Hub/Hub Plus /Rex;335.40;385.71;;17938.54.NC;;
PS421;Ajax 12V PSU for Hub 2;335.40;385.71;EOL;18098.55.NC;;
PS422;Ajax 6V PSU for Hub 2 Plus;315.50;364.55;;20763.78.NC;;
DOOR SENSORS;;;;;;;
MC420B;Ajax DoorProtect black;502.00;577.30;;7062.03.BL1;;
MC420W;Ajax DoorProtect white;474.00;545.10;;7063.03.WH1;;
MC420B;Ajax DoorProtect black;502.00;577.30;;7062.03.BL1;;
MC422W;Ajax DoorProtect Plus white;753.10;866.07;;9999.13.WH1;;
MOTION AND VIBRATION SENSORS;;;;;;;
BD420B;Ajax MotionProtect black;751.80;864.57;;5314.09.BL1;;
BD420W;Ajax MotionProtect white;751.80;864.57;;5328.09.WH1;;
BD422W;Ajax MotionProtect Plus white;1175.30;1351.60;;8227.02.WH1;;
BD423W;Ajax CombiProtect white;1175.30;1351.60;;7170.06.WH1;;
BD425W;Ajax MotionProtect Curtain white;1006.10;1157.02;;13268.36.WH1;;
BD426W;Ajax DualCurtain Outdoor white;2673.80;3074.87;;26072.81.WH1;;
BD426-9W;Ajax SmartBracket DualCurtain Out Wht;220.80;256.45;;33597.81.WH;;
BD427W;Ajax MotionProtect Outdoor white;2178.70;2505.51;;12895.33.WH1;;
BD427-1W;Ajax Hood for MotionProtect Outdoor Whit;169.20;194.58;;20309.60.WH;;
BD428B;Ajax GlassProtect black;651.80;749.57;;5236.05.BL1;;
BD428W;Ajax GlassProtect white;651.80;749.57;;5288.05.WH1;;
PIR AND CAMERAS INDOOR;;;;;;;
CC550W;Ajax MotionCam white;1918.00;2205.70;;10309.23.WH1;;
CC550B;Ajax MotionCam black;1811.70;2095.30;;10308.23.BL1;;
CC551B;Ajax MotionCam (PhOD) Black;2100.00;2415.00;;36488.120.BL1;;
CC551W;Ajax MotionCam (PhOD) White;2109.40;2425.81;;36489.120.WH1;;
CC552W;Ajax MotionCam White Outdoor;3353.50;3856.53;;26074.84.WH1;;
CC553W;Ajax MotionCam Outdoor (PhOD) White;3688.80;4242.12;NEW;36660.121.WH1;;
CC552-9W;Ajax SmartBracket MotionCam Out Wht;199.50;229.43;;33598.84.WH;;
SMOKE AND HEAT SENSORS;;;;;;;
FR420B;Ajax FireProtect black;998.00;1147.70;;8188.10.BL1;;
FR420W;Ajax FireProtect white;1006.10;1157.02;;8209.10.WH1;;
FR421B;Ajax FireProtect Plus Black (with CO);1502.00;1727.30;;8218.16.BL1;;
FR421W;Ajax FireProtect Plus White (with CO);1502.00;1727.30;;8219.16.WH1;;
WARNING DEVICES;;;;;;;
SD420B;Ajax HomeSiren black;839.90;965.89;;8681.11.BL1;;
SD420W;Ajax HomeSiren white;840.10;966.12;;8697.11.WH1;;
SD421B;Ajax StreetSiren black;1667.00;1917.05;;7661.07.BL1;;
SD421W;Ajax StreetSiren white;1675.50;1926.83;;7830.07.WH1;;
;Ajax Detectors use BA34-4 Lithium 3V C2R Batteries;;;;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 28;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
INTRUSION;;;;;;;
;;;;;;;
HUB TECHNICAL SPECIFICATIONS;;;;;;;
;;;;;;;
Prices are subject to change without prior notice.;;;;;;;
E&OE. Valid until 31st March 2023.;Page: 29;;;;;;
www.REGALSECURITY.co.za;05/03/2023;;;;;;
;;;;;;;
Trade Price List;;;;;;;
CONTROL PANELS. BEAMS. DETECTORS AND ACCESSORIES;;;;;;;
;;;;;;;
LightSYS2 - LightSYS Plus Base Kits;;;;;;;
;;;;;;;
CP220;LightSYS2 Basic Kit -Keypad. PSU & Plast;1761.00;2025.15;EOL;RM432PK0100S;;
CP221-K1;LightSYS Plus Kit 1 Standard PSU and Hou;2595.00;2984.25;;;;
CP221-K2;LightSYS Plus Kit 2 Large PSU and Housin;3375.00;3881.25;;;;
LightSYS2 - LightSYS Plus Keypads;;;;;;;
CP181-6;LightSYS LCD Keypad;773.00;888.95;;RP432KP0000A;;
CP181-8;Elegant Keypad. White w/Prox;2011.00;2312.65;;RPKELPWT000B;;
CP182-8;Elegant Keypad. Black w/ Prox;1998.00;2297.70;;RPKELPB0000B;;
CP181-9;Panda Wired Keypad without Prox;1461.00;1680.15;;RP432KP0200C;;
CP181-10;RisControl IPS Touchscreen KP;4512.00;5188.80;New;RP432KPT000A;;
CP182-7;LightSYS Panda Wireless Keypad 868MHz;1825.00;2098.75;;RW432KPP800B;;
LightSYS2 - LightSYS Plus Expanded;;;;;;;
CP169;Expander Single Zone Bus;223.00;256.45;;RP128EZ0100A;;
CP172-1;LightSYS2 & ProSYS Plus 4 Relay Output;1028.00;1182.20;;RP296E04000A;;
CP179;LightSYS2 & ProSYS Plus 8 zone expander;573.00;658.95;;RP432EZ8000C;;
CP189;LightSys & ProSys plus 32 Zone WL Rec 43;935.00;1075.25;EOL;RP432EW4000A;;
CP189-1;LightSys & ProSys Plus 32 Zone WL Rec 86;859.00;987.85;;RP432EW8000A;;
CP182-10;Risco 2-Way Wireless Slim White Keypad;1582.80;1820.22;;RW132KL2P00A;;
LightSYS2 - LightSYS Plus PSU;;;;;;;
CP174-1;PROSYS PSU Bus pcb Exp 3A 16VAC Input;1432.00;1646.80;;RP128EPS000A;;
CP174-2;L & P 3A PSU w/ 2 outputs. Metal Box;2196.00;2525.40;;RP128PSPSEUA;;
CP174-3;Supervised 3A Power Supply PCB w/ 2 O;1728.00;1987.20;;RP128EPSP00A;;
LightSYS2 - LightSYS Plus Connect;;;;;;;
CP184;ProSYS Plus & LightSYS IP Plug-in Module;973.00;1118.95;;RP512IP0000A;;
CP194;LightSYS2 Adaptor from panel to PC USB;2263.49;2603.01;;RW132EUSB00A;;
CP208-2;LightSYS Plus 4G Module + Antenna - EU;2149.00;2471.35;New;RP432G400EUA;;
CP208-3;LightSYS2 4G Module plus Antenna;2169.00;2494.35;New;RW132G400EUA;;
CP211;ProSYS Plus and LightSYS Plug-In IP Mod;549.00;631.35;;RW132IP0000A;;
LightSYS2 - Light5SYS Plus Component;;;;;;;
